file_name,transcription,asr_raw
audio/sample_0001.wav,k'ax waqan,Q'ax wakan
audio/sample_0002.wav,k'ax nu jolom,Cq'ac n golum
audio/sample_0003.wav,k'ax nu q'ab',Cq'annuq'ab
audio/sample_0004.wav,k'ax waqan,
audio/sample_0005.wav,k'ax nu jolom,
audio/sample_0006.wav,k'ax waqan,Cx wakan
audio/sample_0007.wav,k'ax nu jolom,Q'ax n jolom
audio/sample_0008.wav,k'ax nu q'ab',Ach nuq'ab
audio/sample_0009.wav,k'ax nuk'ux,Q'ax nu q'ux
audio/sample_0010.wav,k'o nu q'aq'al,Q'un kaq'al
audio/sample_0011.wav,maj wuxlab,Maj uxlab '
audio/sample_0012.wav,kin jek' ta wuxlab,Quinjik' ta wuxlab
audio/sample_0013.wav,ka lemlot wanima,Can lem lo tuan man
audio/sample_0014.wav,kin xabik,Quin xobic
audio/sample_0015.wav,xin tzaqik,Xin zakic
audio/sample_0016.wav,xin q'osij,Xin kosij'
audio/sample_0017.wav,xin jos nu q'ab',Xinjos nu q'ab
audio/sample_0018.wav,k'ax waral,Q'ax waral
audio/sample_0019.wav,nim k'ax,Nim q'ax
audio/sample_0020.wav,in yowab',Min yuw up
audio/sample_0021.wav,man utz taj,Man in uztaj
audio/sample_0022.wav,in yowab',In yuwab
audio/sample_0023.wav,xin q'osij,Xinkocij
audio/sample_0024.wav,xin jos nu q'ab',Xinjos nu q'ab
audio/sample_0025.wav,k'ax waral,Cj wral
audio/sample_0026.wav,xin tzaqik,Xinzakic
audio/sample_0027.wav,xin q'osij,Xinkozij
audio/sample_0028.wav,xin jos nu q'ab',Xinjos nu q'ab
audio/sample_0029.wav,k'ax waral,Q'ax ural
audio/sample_0030.wav,nim k'ax,Nim q'ax'
audio/sample_0031.wav,in yowab',Rin yowab
audio/sample_0032.wav,ka lemlot wanima,Calem lo tuanima
audio/sample_0033.wav,kin xabik,Quin cabic
audio/sample_0034.wav,xin tzaqik,Xinzakic
audio/sample_0035.wav,xin q'osij,Xin kosij'
audio/sample_0036.wav,xin jos nu q'ab',Xinjos nu q'ab
audio/sample_0037.wav,k'ax waral,Q'ax wa ral
audio/sample_0038.wav,nim k'ax,Nim q'axh
audio/sample_0039.wav,in yowab',In yo wa
audio/sample_0040.wav,man utz taj,Man utztaj
audio/sample_0041.wav,na toq'abej,Na tok a bej
audio/sample_0042.wav,chi na to o',China to'
audio/sample_0043.wav,na toq'aj,Ato aj
audio/sample_0044.wav,waqan,Wakan
audio/sample_0045.wav,jolom,Jolom
audio/sample_0046.wav,q'ab',Wa'
audio/sample_0047.wav,kik',Quik'
audio/sample_0048.wav,q'aq'al,Bakal
audio/sample_0049.wav,je',Je'
audio/sample_0050.wav,man je' taj,Retac
audio/sample_0051.wav,utz,Utz
audio/sample_0052.wav,k'ax waqan,Q'ax wakon'
audio/sample_0053.wav,k'ax nu jolom,Q'ax nu jolom
audio/sample_0054.wav,k'ax nu q'ab',Q'ax nuq'at
audio/sample_0055.wav,k'ax nuk'ux,Q'ax nu q'ux
audio/sample_0056.wav,k'o nu q'aq'al,Q'un kaq'al
audio/sample_0057.wav,maj wuxlab,Majuxlab
audio/sample_0058.wav,kin jek' ta wuxlab,Quinjik' ta wuxla'
audio/sample_0059.wav,ka lemlot wanima,Collem lo tuanm
